TASK	461103	100000	0	0	75563	231428	131955	0.105943	-	TRUNCATED
TASK	461638	100000	0	0	83131	208552	111385	0.0986877	-	TRUNCATED
TASK	462629	100000	0	0	112641	176869	77988	0.0921707	-	TRUNCATED
TASK	464603	100000	0	0	94375	198226	100005	0.0948684	-	TRUNCATED
TASK	466747	100000	3	3	91852	199303	101189	0.0940457	-	TRUNCATED
TASK	476648	100000	0	0	73152	231805	132752	0.103803	-	TRUNCATED
TASK	480774	100000	0	0	76108	224707	125868	0.1075	-	TRUNCATED
TASK	480942	1	0	0	0	0	0	2.5e-07	-	COMPLETE
TASK	500199	100000	0	0	57487	239786	140889	0.110851	-	TRUNCATED
TASK	508416	100000	0	0	79006	213269	116749	0.10313	-	TRUNCATED
TASK	512554	100000	1	1	100174	184507	85938	0.0927094	-	TRUNCATED
TASK	514637	2	0	0	0	0	0	2.92e-07	-	COMPLETE
TASK	523300	100000	0	0	99434	179703	82494	0.0939545	-	TRUNCATED
TASK	537742	100000	0	0	91177	201128	102878	0.0980898	-	TRUNCATED
TASK	539152	100000	0	0	85007	212109	112847	0.102268	-	TRUNCATED
TASK	544332	100000	0	0	105406	172418	77697	0.0916334	-	TRUNCATED
TASK	558953	100000	0	0	90291	201356	102744	0.0976791	-	TRUNCATED
TASK	568952	100000	0	0	88120	204753	105741	0.0964189	-	TRUNCATED
TASK	571621	100000	0	0	90805	192527	93981	0.096012	-	TRUNCATED
TASK	580888	100000	3	3	103690	180383	82755	0.0894733	-	TRUNCATED
TASK	587387	100000	0	0	125505	169060	71535	0.0910878	-	TRUNCATED
TASK	588230	100000	0	0	115949	193430	94482	0.0991177	-	TRUNCATED
TASK	593135	100000	0	0	97624	160416	75305	0.0947223	-	TRUNCATED
TASK	617473	100000	0	0	85192	211207	112172	0.0970614	-	TRUNCATED
TASK	627833	100000	0	0	88293	202981	104821	0.0918518	-	TRUNCATED
TASK	629050	100000	4	4	85897	207827	108996	0.0960937	-	TRUNCATED
TASK	637145	100000	0	0	105610	187683	88276	0.0941619	-	TRUNCATED
TASK	653487	100000	0	0	82143	214342	115115	0.0995656	-	TRUNCATED
TASK	656155	100000	0	0	108096	191028	92412	0.0980121	-	TRUNCATED
TASK	657702	1	0	0	0	0	0	3.33e-07	-	COMPLETE
TASK	662018	100000	0	0	85035	208413	110059	0.0986606	-	TRUNCATED
TASK	662760	100000	0	0	105777	186999	91984	0.101711	-	TRUNCATED
TASK	672230	100000	0	0	98990	201764	102535	0.0934268	-	TRUNCATED
TASK	674086	100000	0	0	91030	195760	97935	0.0927504	-	TRUNCATED
TASK	676288	100000	0	0	86454	207060	108035	0.0933485	-	TRUNCATED
TASK	686641	100000	0	0	74107	222285	123589	0.0979737	-	TRUNCATED
TASK	687004	100000	3	3	88075	202169	104312	0.0918893	-	TRUNCATED
TASK	702336	13	0	0	0	0	0	5.42e-07	-	COMPLETE
TASK	704794	100000	0	0	84355	210181	111760	0.0932749	-	TRUNCATED
TASK	711578	100000	0	0	87836	210073	111155	0.0907162	-	TRUNCATED
TASK	711823	100000	0	0	89916	203596	105314	0.0898435	-	TRUNCATED
TASK	717981	100000	0	0	99307	197823	98522	0.0896749	-	TRUNCATED
TASK	723937	100000	0	0	105918	186215	87706	0.0871444	-	TRUNCATED
TASK	726627	100000	2	2	92626	200193	102206	0.0907246	-	TRUNCATED
TASK	727389	100000	0	0	90199	201220	103935	0.0913828	-	TRUNCATED
